Accession no.,Title,Object type,Artist,Date,Department,Culture,Materials,Technique,Dimensions,Credit line,Location,Credit,Image
1981.18,The Holy Family on the Steps,Painting,Nicolas Poussin,1648,European Painting and Sculpture,France,,oil on canvas,Framed: 103.5 x 135.3 x 13.3 cm (40 3/4 x 53 1/4 x 5 1/4 in.); Unframed: 73.3 x 105.8 cm (28 7/8 x 41 5/8 in.); Former: 72.3 x 104 cm (28 7/16 x 40 15/16 in.),Leonard C. Hanna Jr. Fund,212 Baroque Painting and Sculpture,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1981.18/1981.18_web.jpg
1976.2,The Crucifixion of Saint Andrew,Painting,Caravaggio,1606–7,European Painting and Sculpture,"Italy, Naples",,oil on canvas,Framed: 233.5 x 184 x 12 cm (91 15/16 x 72 7/16 x 4 3/4 in.); Unframed: 202.5 x 152.7 cm (79 3/4 x 60 1/8 in.),Leonard C. Hanna Jr. Fund,217 Italian Baroque,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1976.2/1976.2_web.jpg
1962.292,Wineglass and a Bowl of Fruit,Painting,Willem Kalf,1663,European Painting and Sculpture,Netherlands,,oil on canvas,Framed: 81 x 70.5 x 7.5 cm (31 7/8 x 27 3/4 x 2 15/16 in.); Unframed: 60.3 x 50.2 cm (23 3/4 x 19 3/4 in.),Leonard C. Hanna Jr. Fund,"215 French, German, and Dutch",CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1962.292/1962.292_web.jpg
1917.946,George Washington at Princeton,Painting,Charles Willson Peale — Workshop,c. 1779,American Painting and Sculpture,America,,oil on canvas,Framed: 153 x 144 x 7 cm (60 1/4 x 56 11/16 x 2 3/4 in.); Unframed: 131 x 121.6 cm (51 9/16 x 47 7/8 in.),Membership Income Fund,204 Colonial American,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1917.946/1917.946_web.jpg
1942.647,"The Burning of the Houses of Lords and Commons, 16 October 1834",Painting,Joseph Mallord William Turner,1835,Modern European Painting and Sculpture,"England, 19th century",,oil on canvas,Framed: 123.5 x 153.5 x 12 cm (48 5/8 x 60 7/16 x 4 3/4 in.); Unframed: 92 x 123.2 cm (36 1/4 x 48 1/2 in.),Bequest of John L. Severance,203B British Painting and Decorative Arts,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1942.647/1942.647_web.jpg
1949.186,Fight Between a Tiger and a Buffalo,Painting,Henri Rousseau,1908,Modern European Painting and Sculpture,"France, late 19th-early 20th Century",,oil on fabric,Framed: 183 x 203 x 4.5 cm (72 1/16 x 79 15/16 x 1 3/4 in.); Unframed: 170 x 189.5 cm (66 15/16 x 74 5/8 in.),Gift of the Hanna Fund,The Cleveland Museum of Art,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1949.186/1949.186_web.jpg
1959.190,Diana and Her Nymphs Departing for the Hunt,Painting,Peter Paul Rubens — Workshop,c. 1615,European Painting and Sculpture,Flanders,,oil on canvas,Framed: 261 x 225 x 11 cm (102 3/4 x 88 9/16 x 4 5/16 in.); Unframed: 216 x 178.7 cm (85 1/16 x 70 3/8 in.),Leonard C. Hanna Jr. Fund,212 Baroque Painting and Sculpture,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1959.190/1959.190_web.jpg
1958.23,The Troubadour,Painting,Honoré Daumier,1868–73,Modern European Painting and Sculpture,"France, 19th century",,oil on fabric,Framed: 99.5 x 73 x 8 cm (39 3/16 x 28 3/4 x 3 1/8 in.); Unframed: 83.6 x 56.8 cm (32 15/16 x 22 3/8 in.),Bequest of Leonard C. Hanna Jr.,220 19th Century European,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1958.23/1958.23_web.jpg
1916.793,Portrait of a Couple,Painting,,c. 1580–88,European Painting and Sculpture,"Northern Italy, late 16th century",,oil on canvas,Framed: 132 x 173 x 10.5 cm (51 15/16 x 68 1/8 x 4 1/8 in.); Unframed: 99.8 x 140.5 cm (39 5/16 x 55 5/16 in.),Holden Collection,118 Italian Renaissance,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1916.793/1916.793_web.jpg
1956.578,Sunny Autumn Day,Painting,George Inness,1892,American Painting and Sculpture,America,,oil on canvas,Framed: 111.4 x 137.5 x 12.1 cm (43 7/8 x 54 1/8 x 4 3/4 in.); Unframed: 81 x 106 cm (31 7/8 x 41 3/4 in.); Former: 101 x 127 x 7.6 cm (39 3/4 x 50 x 3 in.),Anonymous Gift,208 American Gilded Age and Realism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1956.578/1956.578_web.jpg
1944.90,Portrait of a Woman,Painting,Rembrandt van Rijn — Studio,1635 or earlier,European Painting and Sculpture,Netherlands,,oil on wood,Framed: 97.8 x 83.8 x 6.4 cm (38 1/2 x 33 x 2 1/2 in.); Unframed: 77.5 x 64.8 cm (30 1/2 x 25 1/2 in.),The Elisabeth Severance Prentiss Collection,213 Dutch Painting,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1944.90/1944.90_web.jpg
1960.81,Water Lilies (Agapanthus),Painting,Claude Monet,c. 1915–26,Modern European Painting and Sculpture,"France, late 19th century-early 20th century",,oil on canvas,Framed: 204.9 x 430.3 x 6 cm (80 11/16 x 169 7/16 x 2 3/8 in.); Unframed: 201.3 x 425.6 cm (79 1/4 x 167 9/16 in.),John L. Severance Fund and an anonymous gift,222 Impressionism & Post-Impressionism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1960.81/1960.81_web.jpg
1991.110,The Power of Music,Painting,William Sidney Mount,1847,American Painting and Sculpture,America,,oil on canvas,Framed: 67 x 78 x 7.5 cm (26 3/8 x 30 11/16 x 2 15/16 in.); Unframed: 43.4 x 53.5 cm (17 1/16 x 21 1/16 in.),Leonard C. Hanna Jr. Fund,207 American Realism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1991.110/1991.110_web.jpg
1961.39,View of Florence,Painting,Thomas Cole,1837,American Painting and Sculpture,America,,oil on canvas,Framed: 125.4 x 186.7 x 9.2 cm (49 3/8 x 73 1/2 x 3 5/8 in.); Unframed: 99.5 x 160.4 cm (39 3/16 x 63 1/8 in.),Mr. and Mrs. William H. Marlatt Fund,206 American Landscape,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1961.39/1961.39_web.jpg
1972.48,"Branch Hill Pond, Hampstead",Painting,John Constable,1828,Modern European Painting and Sculpture,"England, 19th century",,oil on canvas,Framed: 89 x 105.5 x 11.5 cm (35 1/16 x 41 9/16 x 4 1/2 in.); Unframed: 60.6 x 78.1 cm (23 7/8 x 30 3/4 in.),Leonard C. Hanna Jr. Fund,203A British Painting and Decorative Arts,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1972.48/1972.48_web.jpg
1967.63,Low Waterfall in a Wooded Landscape with a Dead Beech Tree,Painting,Jacob van Ruisdael,c. 1660–70,European Painting and Sculpture,Netherlands,,oil on canvas,Framed: 123 x 157 x 9.5 cm (48 7/16 x 61 13/16 x 3 3/4 in.); Unframed: 99.2 x 131 cm (39 1/16 x 51 9/16 in.),Mr. and Mrs. William H. Marlatt Fund,213 Dutch Painting,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1967.63/1967.63_web.jpg
1958.67,"Mourner from the Tomb of Philip the Bold, Duke of Burgundy (1364–1404)",Sculpture,Claus de Werve,1404–10,Medieval Art,"Netherlands, active Dijon, 15th century",,vizille alabaster,Overall: 41.1 x 17.6 x 11 cm (16 3/16 x 6 15/16 x 4 5/16 in.),Bequest of Leonard C. Hanna Jr.,109 Gothic Painting and Sculpture,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1958.67/1958.67_web.jpg
1979.80,Saint John the Baptist in a Landscape,Painting,Petrus Christus,c. 1445,Medieval Art,"Flanders, Bruges",,oil on panel,Unframed: 40.2 x 12.5 cm (15 13/16 x 4 15/16 in.); Painted surface: 39.6 x 11.5 cm (15 9/16 x 4 1/2 in.),Leonard C. Hanna Jr. Fund,112 Northern Renaissance,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1979.80/1979.80_web.jpg
1991.45,Tea Table,Furniture and woodwork,Carlo Bugatti,c. 1907,Decorative Art and Design,"France, Paris",,"inlaid wood (mahogany?), cast and gilded bronze mounts, inlays of ivory or bone, metal, and mother-of-pearl (marine mussels or pearl oysters)",Overall: 71.5 x 67.1 x 41.3 cm (28 1/8 x 26 7/16 x 16 1/4 in.),Leonard C. Hanna Jr. Fund,223 20th Century Avant-Garde,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1991.45/1991.45_web.jpg
1930.331,"Nataraja, Shiva as the Lord of Dance",Sculpture,,1000s,Indian and Southeast Asian Art,"South India, Tamil Nadu, Chola period (900-1200s)",,Bronze,Overall: 113 x 102 x 30 cm (44 1/2 x 40 3/16 x 11 13/16 in.); Base: 35 x 24 cm (13 3/4 x 9 7/16 in.),Purchase from the J. H. Wade Fund,244 Indian and Southeast Asian,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1930.331/1930.331_web.jpg
