N° d'inventaire,Titre,Dénomination,Auteur,Datation,Domaine,Matériaux,Technique,Dimensions,Provenance,Localisation,Crédit,Image (URL)
RO 171,"Saint Exupère, évêque de Toulouse",,"MICHEL, Jean II",1676-1700 ? — 1701-1725 ?,Peinture,toile,peinture à l'huile,Hauteur : 278 — Largeur : 188,,musée des Augustins,,
RO 492,Lavandières dans une grotte,Le Lavoir,"BREENBERGH, Bartholomeus — Anonyme hollandais",,Peinture,bois,peinture à l'huile,Hauteur : 15 — Largeur : 22 — Hauteur avec cadre en cm : 34.5,,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/1940db2f51b2af4f40f9fe8cea76dec9
D 1927 1,L'Abondance,Fécondité,"GERVAIS, Paul-Léon",1927 vers,Peinture,toile,peinture à l'huile,Hauteur : 148 — Largeur : 213,1927 Dépôt : Etat,musée des Augustins,© Ville de Toulouse - musée des Augustins,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/2354ea5b9ccb3888371b2bfab9d611fb
D 1961 3,Brique estampée,,Anonyme,,Sculpture,terre cuite,bas-relief,Hauteur : 39.5 — Largeur : 27.5 — Profondeur : 5,1960.1 Dépôt : Société archéologique du midi de la France,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/8973472e918f0b63aa26b3b879db109c
D 1961 9,Pierre tombale de Guillaume de Vitalis de Mongauzy,dalle funéraire,Anonyme français,1295,Sculpture,marbre,,Hauteur : 250 — Largeur : 455 — Profondeur : 75,1960.1 Dépôt : Société archéologique du midi de la France,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/3f2ea472e39e5c53f2ddf968cee0d367
D 55 8 2,La Procession des corps saints sortant de la,tableau,"MICHEL, Jean II",1700 vers,Peinture,toile,peinture à l'huile,"Hauteur : 20 — Largeur : 69,5 — Hauteur avec cadre en cm : 27.2",1955 Dépôt : Musée du Louvre Peintures,musée des Augustins,© STC - Mairie de Toulouse,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/5572493b6d21b49eb92a8c5977666033
D 1873 9,Fleurs et fruits dans un plateau d'argent,tableau,"Anonyme italien — CAMPIDOGLIO, Michelangelo di",1601-1700,Peinture,toile,peinture à l'huile,Hauteur : 72 — Largeur : 99,1873 Dépôt : Etat,musée des Augustins,© Photo Bernard Delorme,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/4938b22e63b04651f4d7302fac4fe5be
D 1889 3,Wolfgang Amadeus Mozart,buste,"JANSON, Louis-Charles",1876,Sculpture,plâtre,moulage,Hauteur : 73 — Largeur : 56 — Profondeur : 36,1889 Dépôt : Etat,musée des Augustins,,
D 1912 2,Venise vue des jardins,tableau,"TEALDI, Ascanio",,Peinture,toile,peinture à l'huile,Hauteur : 62 — Largeur : 71,1912 Dépôt : Etat,musée des Augustins,,
D 1955 1,Le Reniement de saint Pierre,tableau,"Anonyme — TOURNIER, Nicolas",,Peinture,toile,peinture à l'huile,"Hauteur : 158 — Largeur : 241 — Hauteur avec cadre en cm : 173,5",1955 Dépôt : Musée du Louvre Peintures,musée des Augustins,© Ville de Toulouse - musée des Augustins,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/789a614343ec99c97380d3de5cd9ec5c
D 1961 17,Les Sainte Femmes au tombeau,peinture murale,Anonyme toulousain,1301-1400,Peinture,,détrempe,Hauteur : 43 — Largeur : 55,1958.3 Dépôt : Ecole des Beaux-Arts de Toulouse,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/8aedd7b809fe4025df100bf036d319c4
D 1961 4,Fragment de brique portant une inscription,relief,Anonyme,,Sculpture,terre cuite,gravure,Hauteur : 28 — Largeur : 22 — Profondeur : 5.5,1960.1 Dépôt : Société archéologique du midi de la France,musée des Augustins,,
D 1961 8,"Pierre tombale de Bernard Guillaume, chanoine de",dalle funéraire,Anonyme français,1253,Sculpture,marbre,,Hauteur : 265 — Largeur : 330 — Profondeur : 80,1960.1 Dépôt : Société archéologique du midi de la France,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/d1deb1c685859f076e4b40271f1e6547
D 1986 1,Marguerite de Conflans,tableau,"MANET, Edouard",1875 vers — 1851-1900,Peinture,toile,peinture à l'huile,"Hauteur : 53.5 — Largeur : 64.5 — Hauteur avec cadre en cm : 71,5",1986 Dépôt : Musée d'Orsay,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/1262a98f1f513e87b38f668489e8128d
D 1859 1,La descente des troupeaux de la montagne,tableau,"GELIBERT, Paul-Jean-Pierre",1858,Peinture,toile,peinture à l'huile,Hauteur : 118 — Largeur : 168,1859 Dépôt : Etat,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/3552a9449f575cd189da810df1444e0c
D 1959 8,Chapiteau à deux feuilles,chapiteau,Maître de Rieux — Anonyme,1333 — 1344,Sculpture,calcaire,bas-relief,Hauteur : 57 — Largeur : 63.5 — Profondeur : 55,1959.3 Dépôt : Centre public d'apprentissage Hélène Boucher,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/b070d759b6d28684976bbdc320cfdf0c
D 2001 1,La Mort d'une soeur de charité,tableau,"PILS, Isidore",1850,Peinture,toile,peinture à l'huile,Hauteur : 243 — Largeur : 308.5 — Hauteur avec cadre en cm : 278,2001 Dépôt : Musée d'Orsay,musée des Augustins,© RMN - © Jean Schormans,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/6be93b6bccdc24b0d3baf9551c9c69a8
RO 302,Paysage,tableau,"VAN LOO, Jules César Denis",1784 entre — 1794 et,Peinture,toile,peinture à l'huile,Hauteur : 58 — Largeur : 93,,musée des Augustins,,
RO 435,Paysage,tableau,"BOUDEWYNS, Adriaen Frans — BRUEGHEL, Jan I",,Peinture,bois,peinture à l'huile,Hauteur : 13 — Largeur : 18,,musée des Augustins,© Ville de Toulouse - musée des Augustins,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/ae2d777241c1e4ce4a6dcce61732f161
D 1812 13,Portrait d'homme,,Anonyme français,1601-1700,Peinture,toile,peinture à l'huile,Hauteur : 87 — Largeur : 70,1812 Envoi : Gouvernement Impérial,musée des Augustins,© Ville de Toulouse - musée des Augustins,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/4880b8e5b5dcaf0a879a7a2cc88c84dc
